Oorzaak
wisselstoring
sein- en overwegstoring
eerdere verstoring
defecte trein
defecte trein
wisselstoring
seinstoring
aanrijding
aanrijding met een persoon
sein- en overwegstoring
aanrijding met een persoon
aanrijding met een persoon
aangereden viaduct
aanrijding met een persoon
defecte bovenleiding
beperkingen op last van de politie
koperdiefstal
aanrijding met een persoon
defecte spoorbrug
defecte trein
defecte trein
defecte bovenleiding
sein- en wisselstoring
aanrijding met een persoon
aanrijding met een persoon
defecte trein
aanrijding met een persoon
aanrijding met een persoon
aanrijding met een persoon
herstelwerkzaamheden
herstelwerkzaamheden
aanrijding met een persoon
herstelwerkzaamheden
wisselstoring
acties van het personeel
beperkingen op last van de politie
seinstoring
seinstoring
herstelwerkzaamheden
defecte trein
defecte trein
wisselstoring
aanrijding met een persoon
wisselstoring
wisselstoring
aanrijding met een persoon
seinstoring
versperring
wisselstoring
defecte trein
wisselstoring
geplande werkzaamheden
acties van het personeel
inzet van hulpdiensten
aanrijding
wisselstoring
aanrijding
uitloop van werkzaamheden
sein- en overwegstoring
sein- en wisselstoring
beperkingen op last van de politie
geplande werkzaamheden
aanrijding met een persoon
sein- en wisselstoring
herstelwerkzaamheden
seinstoring
uitloop van werkzaamheden
stroomstoring
defecte trein
sein- en overwegstoring
sein- en overwegstoring
versperring
aanrijding
seinstoring
om logistieke redenen
uitloop van werkzaamheden
sein- en wisselstoring
seinstoring
sein- en overwegstoring
aanrijding met een persoon
koperdiefstal
versperring
aanrijding met een persoon
aanrijding met een persoon
defecte bovenleiding
defecte bovenleiding
defecte bovenleiding
defecte bovenleiding
aanrijding met een persoon
aangereden viaduct
sein- en wisselstoring
aanrijding met een persoon
seinstoring
wisselstoring
wisselstoring
wisselstoring
wisselstoring
wisselstoring
sein- en overwegstoring
aanrijding met een persoon
aangevaren spoorbrug
aanrijding
aanrijding
sein- en overwegstoring
versperring
aanrijding
beperkingen op last van de politie
defecte trein
wisselstoring
wisselstoring
wisselstoring
defecte trein
defecte trein
om logistieke redenen
geplande werkzaamheden
aanrijding met een persoon
beperkingen op last van de politie
aanrijding met een persoon
uitloop van werkzaamheden
geplande werkzaamheden
defecte trein
versperring
versperring
versperring
seinstoring
defecte trein
acties in het buitenland
herstelwerkzaamheden
herstelwerkzaamheden
herstelwerkzaamheden
wisselstoring
acties in het buitenland
seinstoring
seinstoring
stroomstoring
defecte trein
aanrijding met een persoon
aanrijding met een persoon
eerdere verstoring
eerdere verstoring
seinstoring
uitloop van werkzaamheden
sein- en overwegstoring
aanrijding met een persoon
seinstoring
defecte bovenleiding
om logistieke redenen
sein- en overwegstoring
om logistieke redenen
herstelwerkzaamheden
om logistieke redenen
seinstoring
stroomstoring
wisselstoring
sein- en wisselstoring
stroomstoring
defecte trein
wisselstoring
wisselstoring
sein- en overwegstoring
sein- en overwegstoring
seinstoring
stroomstoring
sein- en overwegstoring
sein- en overwegstoring
stroomstoring
seinstoring
brandmelding
stroomstoring
brandmelding
wisselstoring
om logistieke redenen
sein- en overwegstoring
defecte trein
sein- en overwegstoring
defecte trein
sein- en overwegstoring
seinstoring
aanrijding met een persoon
beperkingen op last van de brandweer
aanrijding met een persoon
eerdere verstoring
sein- en wisselstoring
sein- en wisselstoring
aanrijding met een persoon
acties in het buitenland
seinstoring
defecte spoorbrug
defecte trein
om logistieke redenen
aanrijding
seinstoring
seinstoring
aanrijding met een persoon
defecte trein
sein- en wisselstoring
wisselstoring
aanrijding met een persoon
onbekend
sein- en overwegstoring
stroomstoring
stroomstoring
stroomstoring
stroomstoring
seinstoring
seinstoring
defecte trein
gestrande trein
gestrande trein
defecte bovenleiding
defecte bovenleiding
brandmelding
beperkingen op last van de politie
om logistieke redenen
wisselstoring
wisselstoring
aanrijding met een persoon
om logistieke redenen
eerdere verstoring
eerdere verstoring
defecte bovenleiding
defecte trein
defecte bovenleiding
beperkingen op last van de politie
aangereden viaduct
aanrijding
wisselstoring
aanrijding
aanrijding met een persoon
seinstoring
seinstoring
seinstoring
versperring
sein- en overwegstoring
defecte spoorbrug
uitloop van werkzaamheden
defecte trein
seinstoring
defecte trein
wisselstoring
sein- en overwegstoring
defecte trein
aanrijding met een persoon
uitloop van werkzaamheden
aanrijding met een persoon
wisselstoring
stroomstoring
stroomstoring
onbekend
wisselstoring
seinstoring
beperkingen op last van de politie
aanrijding
wisselstoring
wisselstoring
wisselstoring
beperkingen op last van de politie
beperkingen op last van de politie
stroomstoring
defecte spoorbrug
defecte trein
uitloop van werkzaamheden
sein- en overwegstoring
wisselstoring
wisselstoring
defecte trein
wisselstoring
aanrijding met een persoon
brandmelding
aanrijding met een persoon
ontspoorde werktrein
uitloop van werkzaamheden
eerdere verstoring
aanrijding met een persoon
defecte trein
defecte trein
aanrijding
sein- en overwegstoring
sein- en overwegstoring
aangereden viaduct
aanrijding
sein- en overwegstoring
sein- en overwegstoring
seinstoring
wisselstoring
seinstoring
defecte bovenleiding
blikseminslag
blikseminslag
sein- en overwegstoring
herstelwerkzaamheden
seinstoring
stroomstoring
stroomstoring
stroomstoring
aanrijding met een persoon
wisselstoring
sein- en overwegstoring
aanrijding met een persoon
beperkingen op last van de politie
grote drukte
stroomstoring
sein- en wisselstoring
aanrijding met een persoon
wisselstoring
aanrijding met een persoon
defecte trein
wisselstoring
defecte trein
aanrijding
aanrijding met een persoon
om logistieke redenen
defecte trein
sein- en wisselstoring
defecte bovenleiding
wisselstoring
wisselstoring
seinstoring
seinstoring
seinstoring
sein- en wisselstoring
aanrijding met een persoon
sein- en overwegstoring
beperkingen op last van de politie
sein- en overwegstoring
herstelwerkzaamheden
aanrijding met een persoon
sein- en overwegstoring
sein- en overwegstoring
beperkingen op last van de brandweer
defecte bovenleiding
seinstoring
defecte trein
aanrijding met een persoon
defecte trein
wisselstoring
wisselstoring
herstelwerkzaamheden
uitloop van werkzaamheden
sein- en overwegstoring
seinstoring
om logistieke redenen
om logistieke redenen
wisselstoring
aanrijding met een persoon
aanrijding
aanrijding
aanrijding
aanrijding
defecte trein
defecte trein
wisselstoring
om logistieke redenen
om logistieke redenen
beperkingen op last van de politie
